Downloaded from wid.world on 01-10-2024 at 17:51:01
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1980;2558.1509
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1981;2660.2693
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1982;2631.296
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1983;2667.3263
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1984;2729.568
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1985;2739.0454
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1986;2776.6649
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1987;2804.6503
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1988;2790.3279
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1989;2795.7571
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1990;2868.3009
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1991;2889.2786
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1992;2960.972
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1993;3011.1593
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1994;3043.7298
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1995;3123.6785
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1996;3160.5485
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1997;3206.8765
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1998;3273.5767
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1999;3318.0471
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2000;3378.7726
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2001;3439.3264
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2002;3476.7376
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2003;3541.9989
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2004;3633.4287
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2005;3747.1613
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2006;3885.2305
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2007;4090.7495
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2008;4273.5231
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2009;4397.5836
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2010;4549.595
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2011;4739.4236
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2012;4918.2586
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2013;5076.6484
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2014;5254.0918
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2015;5487.3169
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2016;5756.1771
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2017;6010.1588
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2018;6327.6493
Bangladesh ;"anninc_pall_992_i_BD
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;2019;6660.2139
